"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","24/1437","97/11448",0.247422680412371,1.97111680261714,3.63894732100049,0.000723224756002651,0.0154564610448409,0.0131511549015871,"BEX3/TRIO/UBC/PREX1/ARHGEF10/ABR/CASP2/ARHGEF1/IRAK1/NFKBIA/ARHGEF10L/ARHGDIA/ARHGEF40/RASGRF2/RELA/VAV2/ITSN1/MCF2L/PLEKHG2/SOS1/ARHGEF6/MAGED1/KALRN/ARHGEF7",24
"REACTOME_INTERLEUKIN_15_SIGNALING","REACTOME_INTERLEUKIN_15_SIGNALING","7/1437","14/11448",0.5,3.98329853862213,4.23152717298443,0.000743274003407101,0.0154564610448409,0.0131511549015871,"IL15/STAT5B/JAK3/STAT3/SHC1/JAK1/SOS1",7
"REACTOME_SIGNALING_BY_ERBB2_IN_CANCER","REACTOME_SIGNALING_BY_ERBB2_IN_CANCER","10/1437","26/11448",0.384615384615385,3.0640757989401,3.99187315412273,0.000743532382623542,0.0154564610448409,0.0131511549015871,"NRG1/ERBB4/GAB1/EGFR/SHC1/EGF/PIK3R1/SOS1/CDC37/HRAS",10
"REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND","REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND","13/1437","40/11448",0.325,2.58914405010438,3.81438038480808,0.000823903784787564,0.0166337245043703,0.0141528314219324,"CD44/VIM/AREG/MME/ALDH1A3/CNN1/EGFR/PGR/ITGB1/EGF/ITGA6/MFGE8/ALDH1A1",13
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS","REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS","8/1437","18/11448",0.444444444444444,3.54070981210856,4.08699114690196,0.000824412001674329,0.0166337245043703,0.0141528314219324,"BMP1/COL1A1/COL4A5/TLL2/TLL1/COL1A2/LOXL2/COL4A3",8
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","20/1437","76/11448",0.263157894736842,2.09647291506428,3.63347163075698,0.00085520073957523,0.0170048610825684,0.0144686135803041,"BEX3/TRIO/UBC/PREX1/ARHGEF10/ABR/CASP2/ARHGEF1/ARHGEF10L/ARHGEF40/RASGRF2/VAV2/ITSN1/MCF2L/PLEKHG2/SOS1/ARHGEF6/MAGED1/KALRN/ARHGEF7",20
"REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS","REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS","11/1437","31/11448",0.354838709677419,2.82685702740925,3.8587345295562,0.000901132465714007,0.0176621963279945,0.0150279083379975,"FN1/PIEZO1/VCL/ITGAV/ANXA2/ITGA5/ITGB1/NFKBIA/RELA/PDE4D/PTPN1",11
"REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC","REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC","12/1437","36/11448",0.333333333333333,2.65553235908142,3.76915100910047,0.00100806231501157,0.0194797393830405,0.0165743677887003,"ACTB/SGCD/SNTB1/LAMC2/ACTC1/ACTG1/SGCG/LAMC1/LAMA2/LAMB2/SGCE/DTNA",12
"REACTOME_RAC3_GTPASE_CYCLE","REACTOME_RAC3_GTPASE_CYCLE","23/1437","94/11448",0.24468085106383,1.94927375294274,3.50119620943399,0.00108895776023643,0.0207506950978387,0.0176557625161141,"IL32/OPHN1/TRIO/DOCK10/TFRC/NCKAP1L/PREX1/ARAP2/ABR/GARRE1/SRGAP2/ABL2/ITGB1/RAPGEF1/VAV2/PIK3R1/NHS/NCF2/JAG1/MCAM/FERMT2/ABI2/BAIAP2",23
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION","REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION","9/1437","23/11448",0.391304347826087,3.11736407370428,3.85094085351555,0.00118361470110139,0.0222454708207,0.0189275948597179,"IL6ST/DUSP1/DUSP5/IL6/MAP2K2/JAK2/JAK1/PEA15/TYK2",9
"REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS","REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS","8/1437","19/11448",0.421052631578947,3.35435666410285,3.89117205349084,0.00126845492926163,0.0232042688392927,0.019743389705981,"CDKN1A/STAT5B/PIM1/MYO18A/ETV6/PIK3R1/SOS1/HRAS",8
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION","REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION","8/1437","19/11448",0.421052631578947,3.35435666410285,3.89117205349084,0.00126845492926163,0.0232042688392927,0.019743389705981,"VEGFA/ITPR1/SPHK1/RASA1/PRKCA/PDPK1/ITPR3/HRAS",8
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER","REACTOME_PI3K_AKT_SIGNALING_IN_CANCER","26/1437","113/11448",0.230088495575221,1.83302233635709,3.3714801020096,0.0014159818645063,0.0255621989224031,0.0217496383343141,"FGF7/HGF/NRG1/NTRK2/FGF2/CDKN1A/KITLG/AREG/PRR5/NR4A1/ERBB4/FGF1/RICTOR/GAB1/MDM2/EGFR/IRS1/AKT3/PDPK1/EGF/FGFR1/PIK3R1/PTEN/PDGFA/GSK3B/PIK3R5",26
"REACTOME_FLT3_SIGNALING_IN_DISEASE","REACTOME_FLT3_SIGNALING_IN_DISEASE","10/1437","28/11448",0.357142857142857,2.84521324187295,3.70363364826481,0.00145092749544567,0.0258528899188502,0.0219969732392242,"CDKN1A/STAT5B/UBC/PIM1/MYO18A/ETV6/CBL/PIK3R1/SOS1/HRAS",10
"REACTOME_RHOG_GTPASE_CYCLE","REACTOME_RHOG_GTPASE_CYCLE","19/1437","74/11448",0.256756756756757,2.04547762794109,3.41829458103181,0.00156607156329788,0.0275467972415985,0.0234382370269547,"DOCK5/OPHN1/IQGAP2/TRIO/PLD1/TFRC/PREX1/GARRE1/ITGB1/NDUFA5/ARHGDIA/VAV2/LETM1/PIK3R1/ITSN1/MCF2L/MCAM/KALRN/DOCK4",19
"REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE","REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE","12/1437","38/11448",0.31578947368421,2.51576749807713,3.54582307017043,0.00171716546260344,0.029584346102993,0.025171888774144,"FGF2/STAT5B/CPSF6/FGF1/STAT3/MYO18A/GAB1/LRRFIP1/FGFR1/PIK3R1/SOS1/HRAS",12
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","14/1437","48/11448",0.291666666666667,2.32359081419624,3.48142811534812,0.00172871849411261,0.029584346102993,0.025171888774144,"CDK8/HEYL/MAMLD1/HIF1A/HDAC9/UBC/HDAC7/MYC/NBEA/NOTCH1/NCOR2/KAT2B/HDAC10/HEY1",14
"REACTOME_SMOOTH_MUSCLE_CONTRACTION","REACTOME_SMOOTH_MUSCLE_CONTRACTION","13/1437","43/11448",0.302325581395349,2.40850609312036,3.50574891125761,0.00174659769266941,0.029584346102993,0.025171888774144,"PXN/ANXA1/LMOD1/TPM4/TPM3/VCL/PDE5A/ANXA2/MYL6/GUCY1A1/MYL9/ANXA6/SORBS1",13
"REACTOME_INTERLEUKIN_35_SIGNALLING","REACTOME_INTERLEUKIN_35_SIGNALLING","6/1437","12/11448",0.5,3.98329853862213,3.91729032429475,0.00182199871675239,0.0298040634580128,0.0253588356413505,"IL6ST/STAT3/JAK2/JAK1/IL27RA/TYK2",6
