"gene_symbol","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","in_ECM","in_VEGF","in_IGF","in_NFKB","in_EMT","pathway_count"
"IL6ST","ENSG00000134352",140.571212723011,1.05377869983654,0.0855329552851901,12.3201483723198,7.05643427742244e-35,1.61239523239103e-31,FALSE,FALSE,FALSE,TRUE,FALSE,1
"TIMP2","ENSG00000035862",72.3981707271849,1.30732694376931,0.114439722956182,11.423716433409,3.18324160160041e-30,5.65732771306651e-27,TRUE,FALSE,FALSE,FALSE,FALSE,1
"AXL","ENSG00000167601",96.065147092901,1.26715032610593,0.114154046095823,11.1003540342517,1.24947957483661e-28,1.99854257995116e-25,FALSE,TRUE,FALSE,FALSE,FALSE,1
"CTSB","ENSG00000164733",47.9321628904049,2.13346584300113,0.219249234776455,9.73077897022717,2.22879565566103e-22,2.22809915701863e-19,TRUE,FALSE,FALSE,FALSE,FALSE,1
"FAS","ENSG00000026103",29.2381780112615,1.17115252322747,0.124256721154018,9.42526498647753,4.29020901386579e-21,3.61167858825175e-18,FALSE,FALSE,FALSE,FALSE,TRUE,1
"C3","ENSG00000125730",91.3838276787772,1.48903894415425,0.165522872893041,8.99597087779191,2.34153375010035e-19,1.78346820632643e-16,FALSE,FALSE,TRUE,FALSE,FALSE,1
"PECAM1","ENSG00000261371",35.8171738569269,1.33420028962483,0.150581519826851,8.86031892332466,7.97858578445061e-19,5.54858607053424e-16,TRUE,FALSE,FALSE,FALSE,FALSE,1
"SERPINE2","ENSG00000135919",85.6457314414522,1.42582627243949,0.167957062555812,8.48923082329862,2.08009213444953e-17,1.33084294762081e-14,FALSE,FALSE,FALSE,FALSE,TRUE,1
"CCL2","ENSG00000108691",33.8828796905075,2.0343890738203,0.239937579864148,8.47882634713648,2.27476897488621e-17,1.39942037512711e-14,FALSE,FALSE,FALSE,TRUE,FALSE,1
"ETS2","ENSG00000157557",21.1774584421689,1.42329313741486,0.174729825174501,8.14567939957261,3.77158208111872e-16,2.15451626383907e-13,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CXCL12","ENSG00000107562",57.0395310974732,1.18586255819583,0.147188476018716,8.05676225661195,7.83418091096149e-16,4.17692412236097e-13,FALSE,FALSE,FALSE,FALSE,TRUE,1
"GFPT2","ENSG00000131459",130.865006657837,1.11023776693946,0.138121601151832,8.03811827897232,9.12285504591482e-16,4.7070989180454e-13,FALSE,FALSE,FALSE,TRUE,FALSE,1
"IL32","ENSG00000008517",14.9792262030003,1.45936842532473,0.183162802717395,7.96760261184916,1.61782114472358e-15,7.841530063592e-13,FALSE,FALSE,FALSE,FALSE,TRUE,1
"FAM20C","ENSG00000177706",69.4531452285902,1.57750399775182,0.213186626874274,7.39963862124497,1.36555606037567e-13,5.46051729642723e-11,FALSE,FALSE,TRUE,FALSE,FALSE,1
"NAMPT","ENSG00000105835",119.446167876356,0.666678537902817,0.0939938905944185,7.09278585753535,1.31438764908621e-12,4.14995155232646e-10,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SLIT3","ENSG00000184347",105.93898040775,0.983825181789095,0.138725967590668,7.09186029750408,1.32321056060425e-12,4.14995155232646e-10,FALSE,FALSE,FALSE,FALSE,TRUE,1
"IL15","ENSG00000164136",22.4234626275075,1.33216753609493,0.191051811866013,6.9728076540263,3.10677267702239e-12,9.37600546584397e-10,FALSE,FALSE,FALSE,FALSE,TRUE,1
"IGFBP5","ENSG00000115461",44.2954450756753,1.25621209411859,0.182491364803247,6.88367964957124,5.83259598490106e-12,1.69622495960895e-09,FALSE,FALSE,TRUE,FALSE,FALSE,1
"FOS","ENSG00000170345",92.5015499138969,0.89611115102854,0.144862779176247,6.18593096255794,6.17370240186903e-10,1.35271739613555e-07,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PLAU","ENSG00000122861",15.4489347956849,1.72355438018044,0.28107532852193,6.13200165679415,8.67801998921019e-10,1.85073239636556e-07,FALSE,FALSE,FALSE,TRUE,FALSE,1
"THBS2","ENSG00000186340",114.461110836682,0.797956891910714,0.133162633942414,5.99234836595221,2.06832262290806e-09,4.04225540632773e-07,FALSE,FALSE,FALSE,FALSE,TRUE,1
"EGR1","ENSG00000120738",67.3897498134969,0.764823658553347,0.127640035870709,5.99203575379799,2.07230349058377e-09,4.04225540632773e-07,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CDKN1A","ENSG00000124762",10.0403385972716,1.28546443080526,0.216567000551363,5.9356431383016,2.92695831196432e-09,5.32007934089423e-07,FALSE,FALSE,FALSE,TRUE,FALSE,1
"FOSL2","ENSG00000075426",58.9309640012946,0.763067677520152,0.132317459617036,5.76694624978959,8.0720782494316e-09,1.37354139999637e-06,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SPSB1","ENSG00000171621",76.0557331569768,0.64959000351147,0.113654865089703,5.71546148067463,1.09406702895054e-08,1.78567368653713e-06,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PFKFB3","ENSG00000170525",53.5847483739391,0.604861721515068,0.10966378240878,5.5156014887431,3.47589086404214e-08,4.79283399744431e-06,FALSE,FALSE,FALSE,TRUE,FALSE,1
"EGR3","ENSG00000179388",11.1878172637652,1.5784185625126,0.29932777823821,5.27321109922672,1.34057212851469e-07,1.56514242303594e-05,FALSE,FALSE,FALSE,TRUE,FALSE,1
"NFIL3","ENSG00000165030",25.8799361198374,0.89787102433421,0.17235748835893,5.209353146667,1.89500126351309e-07,2.04800981147918e-05,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PXN","ENSG00000089159",41.1428048691426,0.578141546909941,0.111979083967429,5.16294227838212,2.43098119649175e-07,2.47665886865513e-05,FALSE,TRUE,FALSE,FALSE,FALSE,1
"PGF","ENSG00000119630",7.42438265647082,1.38480997896873,0.269984172800715,5.12922651947792,2.90935092479653e-07,2.89037689702612e-05,FALSE,TRUE,FALSE,FALSE,FALSE,1
"TAGLN","ENSG00000149591",46.453045643563,0.622559075875791,0.122094357481236,5.09899956655628,3.41453333679304e-07,3.33021101963444e-05,FALSE,FALSE,FALSE,FALSE,TRUE,1
"ZFP36","ENSG00000128016",48.2771418884517,0.762670830560271,0.150060772525171,5.08241306322971,3.7266989323075e-07,3.59087647122039e-05,FALSE,FALSE,FALSE,TRUE,FALSE,1
"MUSK","ENSG00000030304",92.3700315764531,-0.964169837971451,0.191967651593015,-5.02256411416419,5.09861688089233e-07,4.68691821895821e-05,TRUE,FALSE,FALSE,FALSE,FALSE,1
"COL15A1","ENSG00000204291",193.540228202858,-0.703296635470623,0.141207172582413,-4.9806013576269,6.33869926814133e-07,5.72810705050399e-05,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PRR5","ENSG00000186654",12.5450389947481,1.18183067467067,0.241518554460624,4.89333284272927,9.91425238116109e-07,8.30253753071579e-05,FALSE,TRUE,FALSE,FALSE,FALSE,1
"SOCS3","ENSG00000184557",15.5720159570047,1.1198109216277,0.235019242079467,4.76476271355288,1.89076022296062e-06,0.00014265429135026,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SGK1","ENSG00000118515",21.7135423676104,1.21681836628005,0.256936590985307,4.73587028462456,2.18117068874448e-06,0.000162268954262642,FALSE,FALSE,FALSE,TRUE,FALSE,1
"TPM4","ENSG00000167460",113.724389330981,0.565176749171669,0.11944750976185,4.73159089125005,2.22767030992126e-06,0.000164537804567714,FALSE,FALSE,FALSE,FALSE,TRUE,1
"MAFF","ENSG00000185022",15.3205008155856,1.10376490307817,0.234111656643147,4.71469434245483,2.42073859951386e-06,0.000172855865621536,FALSE,FALSE,FALSE,TRUE,FALSE,1
"NR4A3","ENSG00000119508",26.5530890461443,1.00216082391618,0.214787037466016,4.66583475306206,3.07366648505323e-06,0.000208050162376205,FALSE,FALSE,FALSE,TRUE,FALSE,1
"RELB","ENSG00000104856",27.5619331012235,0.906864247542136,0.194271014187823,4.66803682131071,3.04091410559064e-06,0.000208050162376205,FALSE,FALSE,FALSE,TRUE,FALSE,1
"NR4A1","ENSG00000123358",114.116633220722,0.739309741293798,0.160416392909449,4.60869196648199,4.0521014256853e-06,0.00026694476063591,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PLEC","ENSG00000178209",41.9138693255913,0.606919648579071,0.131695186252104,4.60851809281203,4.05549089306196e-06,0.00026694476063591,TRUE,FALSE,FALSE,FALSE,FALSE,1
"MMP19","ENSG00000123342",46.1323962458925,0.852004232604103,0.18521506883399,4.60008053323005,4.22327635636533e-06,0.000276849611967473,TRUE,FALSE,FALSE,FALSE,FALSE,1
"TNFRSF12A","ENSG00000006327",9.24691191504409,1.32580449897175,0.29190976908869,4.54182983704437,5.57680478079553e-06,0.000347085573808656,FALSE,FALSE,FALSE,FALSE,TRUE,1
"NTM","ENSG00000182667",60.2592417905989,1.02672594511514,0.228488669674973,4.49355299138316,7.00445810636979e-06,0.000414949286708833,FALSE,FALSE,FALSE,FALSE,TRUE,1
"COL4A5","ENSG00000188153",45.7272257648599,-0.545371238258629,0.12221836659015,-4.46226908012517,8.10963011988306e-06,0.000467927330368286,TRUE,FALSE,FALSE,FALSE,FALSE,1
"JUNB","ENSG00000171223",59.976703297792,0.514394980187112,0.115885946134897,4.43880381826739,9.04602232053961e-06,0.000497022397697271,FALSE,FALSE,FALSE,TRUE,FALSE,1
"TNFRSF11B","ENSG00000164761",2.73249665797849,1.84607085762387,0.415954942001414,4.43815103804585,9.07349422492048e-06,0.000497022397697271,FALSE,FALSE,FALSE,FALSE,TRUE,1
"FLNA","ENSG00000196924",53.2214658079108,0.697173887164149,0.157745365791121,4.41961564872412,9.88765972889283e-06,0.000527177057878803,FALSE,FALSE,FALSE,FALSE,TRUE,1
"CDH11","ENSG00000140937",99.8989226965178,1.2710939215452,0.290790477062284,4.3711676337769,1.23583862538301e-05,0.00063356534657055,FALSE,FALSE,FALSE,FALSE,TRUE,1
"SLC2A3","ENSG00000059804",65.5073350093897,0.660044267095946,0.151562924903908,4.35491903784795,1.33116108327989e-05,0.000669430641137228,FALSE,FALSE,FALSE,TRUE,FALSE,1
"EDN1","ENSG00000078401",2.5576856983521,2.43518059529244,0.559217127736197,4.35462448217645,1.33295218045659e-05,0.000669430641137228,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CCN2","ENSG00000118523",104.390664316311,1.36546916144523,0.31385262962938,4.35066981295545,1.35722298509518e-05,0.000678399426456167,FALSE,FALSE,FALSE,FALSE,TRUE,1
"FOSB","ENSG00000125740",58.8630381185772,1.85454575669578,0.429484434528252,4.3180744343688,1.57396353473009e-05,0.000752163301727893,FALSE,FALSE,FALSE,TRUE,FALSE,1
"KDM6B","ENSG00000132510",16.280403481565,0.917906822822107,0.212681929021738,4.31586654796745,1.58978007527104e-05,0.000756801556665484,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PHLDA1","ENSG00000139289",16.0048102543355,1.54082894704321,0.359332618845678,4.28802971462199,1.80264982809764e-05,0.000836591373596194,FALSE,FALSE,FALSE,TRUE,FALSE,1
"MAP2K3","ENSG00000034152",22.7722268438802,0.612228960440033,0.142883361900845,4.2848163165764,1.82890228054559e-05,0.000841016397644211,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PTGS2","ENSG00000073756",6.42280777442545,1.58773169958002,0.371189107594649,4.27741996490338,1.89071902066965e-05,0.00086327361498808,FALSE,FALSE,FALSE,TRUE,FALSE,1
"FOSL1","ENSG00000175592",6.66486468556744,2.16704442201098,0.515422687627192,4.20440247205108,2.61772779969994e-05,0.00111959869964581,FALSE,FALSE,FALSE,TRUE,FALSE,1
"NRP2","ENSG00000118257",14.470683496079,1.05060220521615,0.250267072165476,4.19792422601043,2.69372726351048e-05,0.00114590871223006,FALSE,TRUE,FALSE,FALSE,FALSE,1
"GCH1","ENSG00000131979",9.37436317003385,1.16420516287242,0.277734815460429,4.1917869063063,2.76765896144175e-05,0.00116496592337529,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CXCL2","ENSG00000081041",4.310770441686,2.65769088323411,0.637932857525857,4.16609812753905,3.09857369421556e-05,0.00126756230790225,FALSE,FALSE,FALSE,TRUE,FALSE,1
"MXRA5","ENSG00000101825",34.0026424860532,1.22552448692431,0.299383886705104,4.09348846530096,4.24931224937973e-05,0.00163777709467057,FALSE,FALSE,FALSE,FALSE,TRUE,1
"NTN4","ENSG00000074527",97.6550392046288,-0.584976718043515,0.14319027635514,-4.08531035021301,4.40179414392913e-05,0.00168841000796514,TRUE,FALSE,FALSE,FALSE,FALSE,1
"TNFAIP8","ENSG00000145779",21.37275311391,0.677143798771576,0.166202599539881,4.07420702592015,4.61713960754955e-05,0.00175418403854525,FALSE,FALSE,FALSE,TRUE,FALSE,1
"APOL1","ENSG00000100342",8.85073655609659,0.955305357271953,0.235250451024039,4.0608013847095,4.89045622116838e-05,0.00184923988788625,FALSE,FALSE,TRUE,FALSE,FALSE,1
"DUSP1","ENSG00000120129",80.6474282024758,0.500555341905176,0.124141807099751,4.03212546682978,5.52746620655059e-05,0.00202972946031756,FALSE,FALSE,FALSE,TRUE,FALSE,1
"DUSP5","ENSG00000138166",4.64525301685194,1.74738059648252,0.437756052429284,3.9916766125462,6.56078003421177e-05,0.00230129453679948,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CHRDL1","ENSG00000101938",4.61425784698194,1.58182625455186,0.397805891353802,3.97637714506598,6.99731221435064e-05,0.00241211226009781,FALSE,FALSE,TRUE,FALSE,FALSE,1
"KLF4","ENSG00000136826",16.6183912271084,0.839479303310884,0.212455547713745,3.95131740425046,7.77221612012667e-05,0.00258454463287788,FALSE,FALSE,FALSE,TRUE,FALSE,1
"EMILIN1","ENSG00000138080",26.5296779924195,0.60191017327467,0.153648604053937,3.91744641600112,8.9491929862922e-05,0.00287434421316755,TRUE,FALSE,FALSE,FALSE,FALSE,1
"BHLHE40","ENSG00000134107",36.596150937199,0.753857871037064,0.193221630226697,3.9015190491489,9.55909376498674e-05,0.00302767732219728,FALSE,FALSE,FALSE,TRUE,FALSE,1
"IGFBP6","ENSG00000167779",22.2090980069619,1.31195367895959,0.337640442670834,3.88565323686243,0.000102055094165846,0.00317250939846461,FALSE,FALSE,TRUE,FALSE,FALSE,1
"CTSD","ENSG00000117984",20.0882288488392,0.710556134442737,0.185410763693019,3.8323348671342,0.000126932799442257,0.00378922471278648,TRUE,FALSE,FALSE,FALSE,FALSE,1
"NFKB2","ENSG00000077150",14.373763957266,0.817680934041827,0.213753227375365,3.82535012023901,0.000130586363077785,0.00387519272250311,FALSE,FALSE,FALSE,TRUE,FALSE,1
"F3","ENSG00000117525",19.7307857062404,0.981127781531775,0.261483633014662,3.75215752596171,0.000175319241222137,0.00484323188833866,FALSE,FALSE,FALSE,TRUE,FALSE,1
"SHB","ENSG00000107338",16.5729049550375,1.13290271687511,0.30274855011752,3.74205827388883,0.000182519175574143,0.00496495614508234,FALSE,TRUE,FALSE,FALSE,FALSE,1
"TLL2","ENSG00000095587",64.616772628452,-1.76354064303817,0.486852792322572,-3.62232829070374,0.000291963260647343,0.00711882980800954,TRUE,FALSE,FALSE,FALSE,FALSE,1
"MYC","ENSG00000136997",15.5769102638252,0.895249352214616,0.24736990512157,3.61907141361696,0.000295662045531515,0.00716532487617664,FALSE,FALSE,FALSE,TRUE,FALSE,1
"PANX1","ENSG00000110218",17.4049514209127,0.59812745105682,0.165446863032774,3.61522388573988,0.00030008816685211,0.00722878046505949,FALSE,FALSE,FALSE,TRUE,FALSE,1
"MAPK12","ENSG00000188130",5.03594109554982,1.17969942244917,0.32689784630571,3.60877086154289,0.0003076511915521,0.0073851941328164,FALSE,TRUE,FALSE,FALSE,FALSE,1
"GPC3","ENSG00000147257",15.8023985592433,1.08601665227432,0.301897501752384,3.59730254795241,0.0003215344089802,0.00759990369873796,FALSE,FALSE,TRUE,FALSE,FALSE,1
"NCKAP1L","ENSG00000123338",3.75763378570178,1.3620064691592,0.380676955042274,3.57785374480562,0.000346427195441477,0.00796974225971206,FALSE,TRUE,FALSE,FALSE,FALSE,1
"EHD1","ENSG00000110047",12.2520385862874,0.714279247195403,0.199874828058795,3.57363282876866,0.000352062520457043,0.00805613736010071,FALSE,FALSE,FALSE,TRUE,FALSE,1
"CAPN15","ENSG00000103326",14.518084130499,0.7033715637203,0.197293341688712,3.5651054298126,0.000363709954397637,0.00827530685716956,TRUE,FALSE,FALSE,FALSE,FALSE,1
"COL28A1","ENSG00000215018",15.9046439958954,-1.15900588804896,0.326858629398985,-3.54589349585199,0.00039128431520569,0.00869248975238195,TRUE,FALSE,FALSE,FALSE,FALSE,1
"ATF3","ENSG00000162772",13.5766073345556,1.32690815620858,0.374672012702303,3.54151927879087,0.000397829785205314,0.00882375195674768,FALSE,FALSE,FALSE,TRUE,FALSE,1
"IL18","ENSG00000150782",7.36362622592928,1.00322913786386,0.284732867194132,3.52340475390166,0.000426040193597509,0.00920931927176454,FALSE,FALSE,FALSE,TRUE,FALSE,1
"VEGFD","ENSG00000165197",25.4446722424343,-0.953330644029732,0.272792551267765,-3.49470921987885,0.000474578488652597,0.00989521696327185,FALSE,TRUE,FALSE,FALSE,FALSE,1
"FGF7","ENSG00000140285",109.016673933601,1.497512391635,0.127722901414294,11.7246975683517,9.52405737017808e-32,1.90421622044998e-28,FALSE,FALSE,FALSE,FALSE,FALSE,0
"HMGB1","ENSG00000189403",131.320390204925,1.03127844056306,0.0940705098280392,10.9628239758478,5.76711721109565e-28,8.38591270831591e-25,FALSE,FALSE,FALSE,FALSE,FALSE,0
"ANGPTL4","ENSG00000167772",44.8673612531111,3.30317998487399,0.305671180314519,10.8063180227694,3.21309049742711e-27,3.95333711587282e-24,FALSE,FALSE,FALSE,FALSE,FALSE,0
"TNFRSF1A","ENSG00000067182",39.8833291233493,1.25540259439025,0.126317057198939,9.93850412785578,2.83045443842668e-23,3.23379419590249e-20,FALSE,FALSE,FALSE,FALSE,FALSE,0
"NAP1L4","ENSG00000205531",65.5097426852522,0.89052543395922,0.0897761729332292,9.9193962592006,3.42823522437292e-23,3.65564149425632e-20,FALSE,FALSE,FALSE,FALSE,FALSE,0
"PTBP1","ENSG00000011304",34.000279186341,1.25999848749286,0.132089545512447,9.53897208597879,1.4425500423827e-21,1.35726987811243e-18,FALSE,FALSE,FALSE,FALSE,FALSE,0
"ACVR1B","ENSG00000135503",31.5848881936178,1.20967025740724,0.145089276059937,8.33742017506185,7.59288730505781e-17,4.49808268312592e-14,FALSE,FALSE,FALSE,FALSE,FALSE,0
"HGF","ENSG00000019991",36.4353099257449,1.82358105397192,0.22728255640833,8.02340963947856,1.02849650138697e-15,5.14087548115141e-13,FALSE,FALSE,FALSE,FALSE,FALSE,0
"TUBGCP2","ENSG00000130640",34.8618707662778,1.08688947050845,0.13888801231599,7.82565357790293,5.05026247007255e-15,2.30796994882315e-12,FALSE,FALSE,FALSE,FALSE,FALSE,0
"NRG1","ENSG00000157168",16.8704698248656,2.93506390627095,0.389707398097359,7.53145544734487,5.01778329239547e-14,2.1691741557261e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"ST3GAL1","ENSG00000008513",106.316344425026,0.539953390538312,0.0717727565251612,7.52309673864931,5.34938124252602e-14,2.25166718353168e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"PLAT","ENSG00000104368",10.8421229384223,2.13264560046951,0.288902739053013,7.38188086225854,1.56068822054898e-13,6.08858733845876e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"RPS6KA5","ENSG00000100784",33.7892592571329,1.14169891876266,0.154818589163796,7.37443045392148,1.65049108107411e-13,6.2856202004239e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"SCAMP4","ENSG00000227500",16.673858647287,1.44061564963965,0.195879037069102,7.35461880554084,1.91472740800874e-13,7.12234067234879e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"ANGPT1","ENSG00000154188",70.3363205050201,1.29712191550287,0.176729680120223,7.33958164027959,2.14262535538135e-13,7.78893012711923e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"FRMD3","ENSG00000172159",74.6851086169063,-0.788355112118761,0.107962047477458,-7.30215043655382,2.83204359208909e-13,9.84750809901413e-11,FALSE,FALSE,FALSE,FALSE,FALSE,0
"BEX3","ENSG00000166681",20.0673224681892,1.36567263628928,0.187485310763931,7.28415805336797,3.23685358652103e-13,1.10156325779583e-10,FALSE,FALSE,FALSE,FALSE,FALSE,0
